,pearson_r
NDUFB10,0.3063750401856501
MFN2,0.3062741133586601
COX7C,0.30513770516649064
PRORP,0.3049146642857427
RBBP6,0.3045343072818317
KEAP1,0.30397776344376387
COX5A,0.3024672692054618
TMA16,0.3019456130150245
BYSL,0.30181972240634003
COPS6,0.3017696920873243
SHOC2,0.30148813473527725
AAMP,0.30146257278488164
RPTOR,0.30100555364244613
CTU2,0.3008551205525799
KTI12,0.30003702945742045
PRMT1,0.2997588046617523
POLR1B,0.29972301231162013
CCDC59,0.2991046041349139
CDC16,0.2990578801142624
RPS15,0.29870451089117345
PCM1,0.2979247598721527
CEBPZ,0.2977172644668649
RPUSD3,0.2976576989616304
CUL7,0.29666699781602257
PSMD4,0.296650810842479
TRMT10C,0.2955863404575565
ELP4,0.29533117583814394
LSM12,0.29454455800229085
E4F1,0.2945311773274801
MBTPS2,0.294433272387976
TWISTNB,0.29385764059054587
MRPS24,0.2933014779752646
TRNT1,0.2931839424207432
UTP3,0.2931102948918563
RPF2,0.29304180918128536
TCERG1,0.29200572573854167
TBP,0.29181657554020546
COPS3,0.29132247929224164
POGLUT3,0.29089688573993433
RBBP8,0.290886316780387
SPAG7,0.2906486221462821
RNPC3,0.29035953231342826
POLR2F,0.2898771069176491
ATP6V1G1,0.2897342264082624
NOL12,0.2897066147127616
URM1,0.2896102223781456
HAMP,0.2891224578890122
RPN1,0.2883527802066634
DDX52,0.28790633453661263
SMC6,0.2878395402399395
MRPS18C,0.28718690964215315
NUP153,0.2869869352066522
CDC23,0.2860852901260322
CIAPIN1,0.28580583697656403
FXN,0.28537037047095987
STAT5A,0.2852019223885879
SERF2,0.2849105459286612
MRPS33,0.28457221905709035
UBE2N,0.2837879765567991
CCT4,0.28228965368756126
MVK,0.2819053655714299
MRPS7,0.28140030165586744
XRCC3,0.2813125646869685
BUB1B,0.2810945985131081
PEF1,0.28103089868560216
TPRKB,0.2803390106346358
NAA50,0.28027834913264676
NDUFA6,0.27994847434412373
ATP5MF,0.2794456524253963
ATP5PD,0.2787678380059302
NELFA,0.2787504932303281
KRI1,0.27870948935958817
YARS2,0.27869013216012173
USP37,0.27858414701307765
RBM4,0.27716677581992466
RPS19BP1,0.27691995480725795
LIN52,0.27652045844083906
TARS2,0.27648815845705604
RPS28,0.2764255659987545
DHDDS,0.2762472342167104
HYOU1,0.2760706570638165
LAMB1,0.2756775696550083
MRPL37,0.275327680102699
ELP2,0.27516216690117307
SLC16A5,0.27513468941641916
ZBTB14,0.2750839496926549
MRPL34,0.2750548226955312
RABGGTA,0.27489664018040233
ARL2,0.27471731026904755
ZFR,0.2745651717296419
MRPL49,0.2742344541480144
GEMIN4,0.27386603733717874
RPL39,0.27372945873188215
ZNF143,0.272908691912026
DESI1,0.272627965001978
SNAPC3,0.27226381189767485
TCP1,0.2721439230606823
CTCF,0.27195339593635287
RNGTT,0.27187345666354124
ANAPC1,0.27177538220557307
MED24,0.2717380404431834
DUT,0.27095316844758843
INTS6,0.2701732402033763
HSPA8,0.2690655180423116
MRPS22,0.2674317288567058
PPP1R12A,0.26623365083341916
DDX27,0.2655387677042822
VPS13D,0.2654826062495806
NSA2,0.2654656874336806
CNOT9,0.2654355036712127
PTCD3,0.2654047659172279
USP9X,0.265376513290016
MRPS16,0.2641093718993669
WDR77,0.26331092691919833
LUC7L3,0.2632566729007434
HMGCR,0.26315279134045133
NOP14,0.2625913812776766
FGFR1OP,0.2624920984901967
YPEL5,0.262156484829447
NSMCE1,0.2619762404853033
HUWE1,0.2618837623761654
EARS2,0.26174097415788866
